timestamp_utc,frequency_hz,power_db_smoothed
2026-07-14T23:00:46.128620+00:00,1420518885,-69.71
2026-07-14T23:00:46.128620+00:00,1420520350,-69.697
2026-07-14T23:00:46.128620+00:00,1420521815,-69.663
2026-07-14T23:00:46.128620+00:00,1420523280,-69.693
2026-07-14T23:00:46.128620+00:00,1420524745,-69.7
2026-07-14T23:00:46.128620+00:00,1420526210,-69.705
2026-07-14T23:00:46.128620+00:00,1420527675,-69.695
2026-07-14T23:00:46.128620+00:00,1420529139,-69.69
2026-07-14T23:00:46.128620+00:00,1420530604,-69.687
2026-07-14T23:00:46.128620+00:00,1420532069,-69.638
2026-07-14T23:00:46.128620+00:00,1420533534,-69.677
2026-07-14T23:00:46.128620+00:00,1420534999,-69.699
2026-07-14T23:00:46.128620+00:00,1420536464,-69.678
2026-07-14T23:00:46.128620+00:00,1420537928,-69.684
2026-07-14T23:00:46.128620+00:00,1420539393,-69.69
2026-07-14T23:00:46.128620+00:00,1420540858,-69.693
2026-07-14T23:00:46.128620+00:00,1420542323,-69.648
2026-07-14T23:00:46.128620+00:00,1420543788,-69.671
2026-07-14T23:00:46.128620+00:00,1420545253,-69.668
2026-07-14T23:00:46.128620+00:00,1420546717,-69.689
2026-07-14T23:00:46.128620+00:00,1420548182,-69.676
2026-07-14T23:00:46.128620+00:00,1420549647,-69.739
2026-07-14T23:00:46.128620+00:00,1420551112,-69.748
2026-07-14T23:00:46.128620+00:00,1420552577,-69.687
2026-07-14T23:00:46.128620+00:00,1420554042,-69.679
2026-07-14T23:00:46.128620+00:00,1420555507,-69.77
2026-07-14T23:00:46.128620+00:00,1420556971,-69.77
2026-07-14T23:00:46.128620+00:00,1420558436,-69.711
2026-07-14T23:00:46.128620+00:00,1420559901,-69.7
2026-07-14T23:00:46.128620+00:00,1420561366,-69.725
2026-07-14T23:00:46.128620+00:00,1420562831,-69.758
2026-07-14T23:00:46.128620+00:00,1420564296,-69.741
2026-07-14T23:00:46.128620+00:00,1420565760,-69.721
2026-07-14T23:00:46.128620+00:00,1420567225,-69.73
2026-07-14T23:00:46.128620+00:00,1420568690,-69.702
2026-07-14T23:00:46.128620+00:00,1420570155,-69.692
2026-07-14T23:00:46.128620+00:00,1420571620,-69.695
2026-07-14T23:00:46.128620+00:00,1420573085,-69.77
2026-07-14T23:00:46.128620+00:00,1420574550,-69.779
2026-07-14T23:00:46.128620+00:00,1420576014,-69.793
2026-07-14T23:00:46.128620+00:00,1420577479,-69.713
2026-07-14T23:00:46.128620+00:00,1420578944,-69.691
2026-07-14T23:00:46.128620+00:00,1420580409,-69.715
2026-07-14T23:00:46.128620+00:00,1420581874,-69.728
2026-07-14T23:00:46.128620+00:00,1420583339,-69.771
